Product Link,Product Name,Price
https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGMFFX5XYE8MZN.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",39999.0
https://www.flipkart.com/samsung-galaxy-s23-5g-green-128-gb/p/itm7cdd081996dc8?pid=MOBGNPGYWGZAUZGK&lid=LSTMOBGNPGYWGZAUZGKLQSOT0&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGNPGYWGZAUZGK.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Green, 128 GB)",39999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-128-gb/p/itmfde87b854d383?pid=MOBGVTA2GRVRXVFR&lid=LSTMOBGVTA2GRVRXVFRPT6FPX&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA2GRVRXVFR.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 128 GB)",31999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-256-gb/p/itmdb72279972171?pid=MOBGVTA2R8ZH4G3C&lid=LSTMOBGVTA2R8ZH4G3C8XDOZH&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA2R8ZH4G3C.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 256 GB)",34999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA2836DQWTT.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)",31999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-256-gb/p/itm3dd39c0d1ec9c?pid=MOBGVTA2GWPSR57X&lid=LSTMOBGVTA2GWPSR57XIIBGXC&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA2GWPSR57X.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)",34999.0
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-128-gb/p/itm1f3efe01d1c61?pid=MOBGNPGZVX4PCTTF&lid=LSTMOBGNPGZVX4PCTTFYWYWBL&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGNPGZVX4PCTTF.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",39999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-256-gb/p/itm8f6a49271bf21?pid=MOBGVTA2VGHCJFGG&lid=LSTMOBGVTA2VGHCJFGG1TC2LI&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA2VGHCJFGG.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 256 GB)",34999.0
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGVTA24G7GHE6M.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 128 GB)",31999.0
https://www.flipkart.com/samsung-galaxy-s23-5g-lavender-128-gb/p/itmd3e8445fc75c9?pid=MOBGNPGZFWUKKJGR&lid=LSTMOBGNPGZFWUKKJGRF0SBQA&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=f3bc2f65-7f78-425d-9501-514cea72c6cd.MOBGNPGZFWUKKJGR.SEARCH&ppt=sp&ppn=sp&ssid=3bvr75hykw0000001729314945585&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)",39999.0
